submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
11/27/2020,NH,"19,313",,,537,0,517,,,3,0,11/28/2020 02:46:47 PM,Not agree,Not agree
12/22/2020,AL,"354,098","283,917","70,181",4862,"1,364","6,537","5,409","1,128",66,18,12/24/2020 12:00:00 AM,Agree,Agree
03/27/2021,ND,"102,583","96,323","6,260",47,8,"1,466",,,0,0,03/28/2021 01:52:27 PM,Agree,Not agree
04/30/2020,ND,"1,067","1,067",0,34,0,19,,,0,0,05/01/2020 09:00:19 PM,Agree,Not agree
07/14/2021,IN,"759,062",,,583,0,"13,955","13,527",428,2,0,07/14/2021 12:00:00 AM,Not agree,Agree
06/24/2020,IN,"43,140",,,269,0,"2,696","2,504",192,5,0,06/24/2020 12:00:00 AM,Not agree,Agree
09/28/2020,NH,"8,208",,,36,0,439,,,0,0,09/29/2020 01:50:42 PM,Not agree,Not agree
03/13/2020,ND,1,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Not agree
07/17/2020,VI,283,,,20,0,6,,,0,0,07/18/2020 04:14:26 PM,,
10/29/2020,GU,"4,628",,,162,15,79,,,3,0,10/30/2020 01:37:23 PM,Not agree,Not agree
05/16/2021,MO,"593,458",,,207,62,"8,994",,,0,0,05/18/2021 12:00:00 AM,Not agree,Not agree
02/15/2021,NE,"197,558",,,120,0,"2,004",,,1,0,02/17/2021 12:00:00 AM,Not agree,Not agree
02/12/2021,MO,"541,190",,,951,245,"8,348",,,18,0,02/14/2021 12:00:00 AM,Not agree,Not agree
06/22/2021,VT,"22,788",,,1,0,249,,,0,0,06/24/2021 12:00:00 AM,Not agree,Not agree
01/29/2020,ID,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/07/2020,AL,54,46,8,0,0,0,0,0,0,0,02/09/2020 12:00:00 AM,Agree,Agree
10/27/2020,WA,"106,305",,,544,32,"2,337",,,16,0,10/29/2020 12:00:00 AM,N/A,N/A
05/23/2021,VI,"3,353",,,12,0,27,,,0,0,05/24/2021 01:46:58 PM,,
12/20/2020,NC,"499,162","456,635","42,527",3848,674,"7,028","6,593",435,64,13,12/20/2020 12:00:00 AM,Agree,Agree
06/23/2020,VT,"1,073",,,1,0,55,,,0,0,06/25/2020 12:00:00 AM,Not agree,Not agree
07/20/2021,DE,"110,457","102,736","7,721",34,1,"1,697","1,551",146,0,0,07/21/2021 02:18:34 PM,Agree,Agree
01/07/2021,DE,"64,359","61,634","2,725",573,62,949,846,103,2,0,01/09/2021 12:00:00 AM,Agree,Agree
08/12/2020,NH,"6,887",,,26,0,420,,,1,0,08/13/2020 02:12:28 PM,Not agree,Not agree
06/22/2020,NE,"17,957",,,147,0,249,,,5,0,06/24/2020 12:00:00 AM,Not agree,Not agree
10/28/2020,NH,"10,641",,,111,54,478,,,3,1,10/29/2020 02:11:33 PM,Not agree,Not agree
07/12/2020,VI,181,,,0,0,6,,,0,0,07/13/2020 03:19:34 PM,,
05/20/2021,IN,"738,173",,,891,0,"13,578","13,159",419,16,0,05/20/2021 12:00:00 AM,Not agree,Agree
05/18/2020,WI,"12,687","12,687",0,144,0,459,459,0,6,0,05/19/2020 03:45:23 PM,Agree,Agree
01/25/2020,CA,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
08/13/2020,ME,"4,115","3,697",418,26,8,126,125,1,0,0,08/14/2020 02:30:03 PM,Agree,Agree
04/30/2021,NC,"971,600","830,894","140,706",1751,449,"12,981","11,463","1,518",13,1,04/30/2021 12:00:00 AM,Agree,Agree
11/11/2020,ID,"77,121","66,200","10,921",1693,368,733,676,57,19,3,11/12/2020 02:55:21 PM,Agree,Agree
03/19/2021,VT,"16,151",,,147,7,214,,,1,0,03/21/2021 12:00:00 AM,Not agree,Not agree
07/12/2021,DE,"110,093","102,428","7,665",19,0,"1,695","1,550",145,0,0,07/13/2021 02:26:25 PM,Agree,Agree
11/18/2020,VI,"1,469",,,6,0,23,,,0,0,11/19/2020 03:01:36 PM,,
01/25/2020,NC,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
04/01/2021,MI,"804,144","723,842","80,302",6669,874,"17,336","16,292","1,044",27,2,04/02/2021 12:00:00 AM,Agree,Agree
02/01/2020,DE,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
12/21/2020,NV,"205,884",,,1939,0,"2,787",,,6,0,12/22/2020 02:35:48 PM,,
09/11/2020,MD,"115,533",,,809,0,"3,952","3,798",154,4,0,09/13/2020 12:00:00 AM,N/A,Agree
03/30/2021,ME,"50,504","38,712","11,792",251,133,743,720,23,5,0,03/31/2021 02:08:03 PM,Agree,Agree
02/20/2021,MS,"292,717","182,092","110,625",354,193,"6,940","4,846","2,094",4,0,02/22/2021 12:00:00 AM,Agree,Agree
06/07/2021,IL,"1,385,489","1,385,489",0,244,0,"25,372","22,963","2,409",20,6,06/08/2021 03:05:30 PM,Agree,Agree
06/25/2021,CT,"349,120","319,465","29,655",127,-7,"8,275","6,805","1,470",1,-2,06/26/2021 02:17:39 PM,Agree,Agree
02/05/2020,VT,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
03/23/2020,MI,"9,740","9,530",210,1332,41,59,54,5,21,0,03/24/2020 12:00:00 AM,Agree,Agree
05/31/2021,NH,"98,746",,,20,0,"1,353",,,0,0,06/01/2021 03:18:33 PM,Not agree,Not agree
11/11/2020,IN,"224,374",,,5036,0,"5,261","5,009",252,61,0,11/11/2020 12:00:00 AM,Not agree,Agree
06/28/2021,ID,"194,824","155,959","38,865",46,10,"2,145","1,869",276,0,0,06/29/2021 02:25:53 PM,Agree,Agree
02/19/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
11/22/2020,IL,"656,298","656,298",0,10012,0,"12,051","11,506",545,99,23,11/23/2020 03:04:35 PM,Agree,Agree
09/10/2020,CT,"54,093","51,877","2,216",222,11,"4,478","3,593",885,4,0,09/11/2020 01:51:03 PM,Agree,Agree
11/21/2020,NV,"131,733",,,2019,0,"2,011",,,29,0,11/22/2020 03:02:23 PM,,
01/11/2021,MI,"617,618","566,368","51,250",2718,371,"14,713","13,868",845,74,10,01/12/2021 12:00:00 AM,Agree,Agree
09/12/2020,ID,"35,167","32,411","2,756",217,34,415,378,37,3,0,09/13/2020 04:17:15 PM,Agree,Agree
07/17/2020,MD,"77,206",,,835,0,"3,481","3,344",137,8,0,07/19/2020 12:00:00 AM,N/A,Agree
06/24/2020,MO,"21,843",,,618,11,"1,067",,,9,0,06/26/2020 12:00:00 AM,Not agree,Not agree
02/23/2020,GU,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
08/09/2020,IN,"74,328",,,1041,0,"3,193","2,984",209,12,0,08/09/2020 12:00:00 AM,Not agree,Agree
04/28/2021,MT,"108,489","98,796","9,693",202,259,"1,567","1,567",0,1,0,04/29/2021 01:47:03 PM,Agree,Agree
05/14/2021,WA,"420,775",,,1597,260,"5,622",,,-4,0,05/16/2021 12:00:00 AM,N/A,N/A
10/30/2020,CA,"953,596","944,055","9,541",5066,180,"18,302",,,40,0,10/31/2020 12:00:00 AM,Agree,Not agree
02/14/2021,ND,"98,643","93,832","4,811",46,3,"1,431",,,0,0,02/15/2021 02:46:24 PM,Agree,Not agree
09/06/2020,WI,"86,353","81,193","5,160",890,-3,"1,176","1,168",8,0,0,09/07/2020 01:37:36 PM,Agree,Agree
04/15/2020,WA,"10,601",,,219,0,567,,,21,,04/17/2020 12:00:00 AM,N/A,N/A
01/27/2021,MT,"92,531","92,531",0,371,0,"1,201","1,201",0,16,0,01/28/2021 02:49:07 PM,Agree,Agree
04/03/2021,ME,"51,765","39,522","12,243",295,120,745,722,23,0,0,04/04/2021 01:43:43 PM,Agree,Agree
05/21/2021,NC,"995,490","848,806","146,684",943,237,"13,244","11,677","1,567",14,2,05/21/2021 12:00:00 AM,Agree,Agree
05/31/2020,WA,"21,761",,,352,0,"1,118",,,0,0,06/02/2020 12:00:00 AM,N/A,N/A
05/14/2020,NV,"6,499",,,94,-11,339,,,-3,-11,05/15/2020 04:11:22 PM,,
03/11/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
07/03/2021,ND,"110,735","101,548","9,187",1,1,"1,528",,,0,0,07/05/2021 01:25:13 PM,Agree,Not agree
03/20/2021,IN,"678,357",,,938,0,"13,058","12,655",403,9,0,03/20/2021 12:00:00 AM,Not agree,Agree
10/01/2020,NV,"80,515",,,430,0,"1,645",,,3,0,10/02/2020 01:40:08 PM,,
05/23/2021,NH,"98,303",,,59,13,"1,344",,,0,0,05/24/2021 01:46:58 PM,Not agree,Not agree
02/07/2020,MI,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/13/2020,VT,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
06/26/2020,MT,852,852,0,23,0,22,22,0,0,0,06/27/2020 05:51:58 PM,Agree,Agree
11/02/2020,ME,"6,926","6,137",789,127,29,148,147,1,0,0,11/03/2020 02:57:05 PM,Agree,Agree
04/26/2020,DE,"4,301","4,248",53,130,0,125,114,11,13,11,06/03/2021 01:36:29 PM,Agree,Agree
06/01/2020,DE,"9,809","8,922",887,58,1,373,349,24,4,0,06/03/2020 12:00:00 AM,Agree,Agree
09/01/2020,VI,"1,143",,,4,0,15,,,0,0,09/02/2020 01:49:48 PM,,
12/26/2020,ND,"91,465","88,803","2,662",110,26,"1,266",,,2,0,12/27/2020 02:44:47 PM,Agree,Not agree
10/07/2020,VI,"1,322",,,1,0,20,,,0,0,10/08/2020 01:56:57 PM,,
02/11/2021,ID,"166,876","135,711","31,165",323,75,"1,791","1,577",214,0,0,02/12/2021 02:56:38 PM,Agree,Agree
06/17/2020,MS,"24,223","24,038",185,521,6,"1,190","1,171",19,9,0,06/19/2020 12:00:00 AM,Agree,Agree
04/26/2020,ND,867,867,0,64,0,17,,,1,0,05/25/2020 03:38:40 PM,Agree,Not agree
08/19/2020,ME,"4,253","3,812",441,18,5,128,127,1,1,0,08/20/2020 03:11:45 PM,Agree,Agree
08/06/2020,DE,"15,826","14,880",946,86,0,587,517,70,0,0,08/08/2020 12:00:00 AM,Agree,Agree
11/24/2020,ND,"75,478","75,478",0,1077,0,887,,,4,0,11/25/2020 02:53:15 PM,Agree,Not agree
06/13/2021,ID,"193,665","155,006","38,659",75,11,"2,116","1,845",271,0,0,06/14/2021 03:07:59 PM,Agree,Agree
02/21/2021,WA,"334,299",,,760,57,"4,822",,,0,0,02/23/2021 12:00:00 AM,N/A,N/A
05/24/2020,NH,"4,149",,,60,0,209,,,1,0,05/25/2020 02:12:49 PM,Not agree,Not agree
02/16/2021,VI,"2,542",,,0,0,25,,,0,0,02/17/2021 02:51:58 PM,,
05/12/2020,MD,"34,812",,,751,0,"1,880","1,786",94,50,2,05/14/2020 12:00:00 AM,N/A,Agree
03/03/2021,IN,"664,475",,,774,0,"12,855","12,454",401,26,0,03/03/2021 12:00:00 AM,Not agree,Agree
05/04/2020,GU,149,,,0,0,5,,,0,0,05/05/2020 05:25:08 PM,Not agree,Not agree
02/26/2021,ID,"170,907","138,652","32,255",312,93,"1,859","1,633",226,9,4,02/27/2021 02:51:23 PM,Agree,Agree
03/14/2020,NH,6,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
07/30/2020,MI,"164,448","149,285","15,163",1432,124,"6,539","6,223",316,12,0,07/31/2020 12:00:00 AM,Agree,Agree
01/05/2021,NE,"171,151",,,1448,0,"1,692",,,10,0,01/07/2021 12:00:00 AM,Not agree,Not agree
05/09/2020,NH,"3,011",,,64,0,131,,,10,0,05/10/2020 09:26:08 PM,Not agree,Not agree
07/14/2020,WI,"41,349","37,906","3,443",967,3,833,826,7,6,0,07/15/2020 03:05:12 PM,Agree,Agree
07/14/2020,CT,"47,530","45,547","1,983",20,-4,"4,372","3,497",875,1,-4,07/15/2020 03:05:12 PM,Agree,Agree
03/03/2020,MO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
10/03/2020,GU,"2,617",,,0,0,49,,,0,0,10/04/2020 01:35:23 PM,Not agree,Not agree
06/05/2021,IN,"746,554",,,419,0,"13,735","13,315",420,11,0,06/05/2021 12:00:00 AM,Not agree,Agree
11/14/2020,DE,"28,937","27,702","1,235",401,3,736,646,90,2,0,11/16/2020 12:00:00 AM,Agree,Agree
10/04/2020,GU,"2,617",,,0,0,49,,,0,0,10/05/2020 01:49:47 PM,Not agree,Not agree
10/16/2020,WI,"175,227","166,186","9,041",4105,244,"1,588","1,574",14,23,2,10/17/2020 02:09:18 PM,Agree,Agree
02/23/2021,VI,"2,589",,,0,0,25,,,0,0,02/24/2021 02:56:12 PM,,
04/01/2021,CA,"3,734,340","3,590,148","144,192",2619,212,"61,623",,,44,0,04/02/2021 12:00:00 AM,Agree,Not agree
03/12/2020,MD,12,,,0,,0,0,0,0,0,03/14/2020 12:00:00 AM,N/A,Agree
10/24/2020,DE,"24,128","23,014","1,114",123,3,680,599,81,2,0,10/26/2020 12:00:00 AM,Agree,Agree
07/10/2021,MD,"463,146",,,39,0,"9,762","9,545",217,0,0,07/12/2021 01:16:46 PM,N/A,Agree
11/10/2020,VI,"1,413",,,3,0,23,,,0,0,11/11/2020 03:15:25 PM,,
08/05/2020,MS,"68,660","66,041","2,619",680,64,"2,374","2,269",105,17,3,08/07/2020 12:00:00 AM,Agree,Agree
06/26/2020,ME,"3,102","2,758",344,32,5,103,103,0,0,0,06/27/2020 05:51:58 PM,Agree,Agree
08/17/2020,WA,"67,872",,,273,6,"1,785",,,4,0,08/19/2020 12:00:00 AM,N/A,N/A
08/15/2020,ID,"27,477","25,661","1,816",304,28,269,241,28,4,2,08/16/2020 02:57:14 PM,Agree,Agree
05/29/2021,NC,"1,000,861","852,769","148,092",585,161,"13,311","11,736","1,575",9,2,05/29/2021 12:00:00 AM,Agree,Agree
01/24/2020,NV,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,,
04/12/2021,CT,"324,571","298,941","25,630",2985,245,"7,957","6,542","1,415",13,1,04/13/2021 02:00:37 PM,Agree,Agree
08/09/2020,NE,"28,432",,,187,0,345,,,0,0,08/11/2020 12:00:00 AM,Not agree,Not agree
07/04/2021,DE,"109,875","102,245","7,630",29,9,"1,695","1,550",145,0,0,07/05/2021 02:30:02 PM,Agree,Agree
01/25/2020,VT,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
11/13/2020,IN,"236,565",,,5600,0,"5,361","5,109",252,41,0,11/13/2020 12:00:00 AM,Not agree,Agree
06/07/2021,WI,"675,448","611,000","64,448",102,14,"7,965","7,161",804,11,0,06/08/2021 03:05:30 PM,Agree,Agree
09/12/2020,ME,"4,863","4,376",487,29,2,136,135,1,1,0,09/13/2020 04:17:15 PM,Agree,Agree
07/05/2021,AL,"554,270","426,214","128,056",343,131,"11,430","9,112","2,318",1,1,07/07/2021 12:00:00 AM,Agree,Agree
04/19/2021,MS,"310,467","190,406","120,061",303,144,"7,253","5,003","2,250",3,1,04/21/2021 12:00:00 AM,Agree,Agree
07/07/2020,WI,"35,765","32,556","3,209",535,40,812,805,7,9,0,07/08/2020 02:12:08 PM,Agree,Agree
03/06/2021,CT,"285,330","265,709","19,621",0,0,"7,704","6,327","1,377",0,0,03/07/2021 02:51:40 PM,Agree,Agree
03/08/2020,MT,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
11/07/2020,NE,"82,411",,,1702,0,703,,,2,0,11/09/2020 12:00:00 AM,Not agree,Not agree
01/07/2021,WI,"540,508","498,538","41,970",4509,718,"5,477","5,079",398,42,2,01/08/2021 03:56:01 PM,Agree,Agree
06/05/2021,ID,"192,854","154,330","38,524",59,22,"2,105","1,835",270,4,2,06/06/2021 01:36:52 PM,Agree,Agree
07/09/2021,CA,"3,890,641","3,734,856","155,785",3401,0,"63,611",,,7,0,07/10/2021 12:00:00 AM,Agree,Not agree
08/02/2020,VI,438,,,0,0,8,,,0,0,08/03/2020 02:31:01 PM,,
05/28/2021,ID,"192,012","153,670","38,342",135,23,"2,090","1,822",268,0,0,05/29/2021 01:33:02 PM,Agree,Agree
10/15/2020,VI,"1,329",,,1,0,21,,,1,0,10/16/2020 01:33:55 PM,,
04/18/2021,AL,"535,087","412,967","122,120",320,108,"11,020","8,791","2,229",6,2,04/20/2021 12:00:00 AM,Agree,Agree
08/31/2020,NC,"173,372","170,285","3,087",656,25,"2,978","2,966",12,25,1,08/31/2020 12:00:00 AM,Agree,Agree
04/21/2020,WA,"12,296",,,236,0,682,,,30,0,04/23/2020 12:00:00 AM,N/A,N/A
09/20/2020,NH,"7,947",,,27,0,438,,,0,0,09/21/2020 01:47:41 PM,Not agree,Not agree
11/20/2020,WI,"365,190","344,945","20,245",7077,604,"3,091","2,954",137,81,3,11/21/2020 02:59:41 PM,Agree,Agree
02/06/2020,WI,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
08/01/2020,CA,"585,994","583,824","2,170",7278,47,"10,816",,,145,0,08/02/2020 12:00:00 AM,Agree,Not agree
06/22/2020,GU,225,,,3,0,5,,,0,0,06/23/2020 02:28:19 PM,Not agree,Not agree
12/10/2020,MI,"529,060","487,045","42,015",3827,325,"11,488","10,917",571,116,12,12/11/2020 12:00:00 AM,Agree,Agree
06/28/2021,MT,"113,577","101,343","12,234",18,4,"1,662","1,662",0,0,0,06/29/2021 02:25:53 PM,Agree,Agree
11/15/2020,NH,"14,671",,,360,119,499,,,0,0,11/16/2020 06:40:02 PM,Not agree,Not agree
02/08/2021,CA,"3,542,418","3,412,155","130,263",7106,484,"54,129",,,312,0,02/09/2021 12:00:00 AM,Agree,Not agree
09/08/2020,IN,"100,780",,,386,0,"3,569","3,347",222,11,0,09/08/2020 12:00:00 AM,Not agree,Agree
10/03/2020,MI,"244,541","221,527","23,014",954,98,"7,180","6,849",331,25,0,10/04/2020 12:00:00 AM,Agree,Agree
01/27/2020,DE,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/04/2020,MD,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,N/A,Agree
01/27/2020,MD,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,N/A,Agree
03/06/2021,ND,"100,391","94,928","5,463",113,51,"1,449",,,1,0,03/07/2021 02:51:40 PM,Agree,Not agree
05/07/2020,GU,151,,,-4,0,5,,,0,0,05/08/2020 09:26:08 PM,Not agree,Not agree
03/12/2020,ME,1,,,1,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/31/2021,MS,"306,232","188,212","118,020",244,127,"7,188","4,972","2,216",5,1,04/02/2021 12:00:00 AM,Agree,Agree
02/23/2020,AL,77,63,14,2,1,0,0,0,0,0,02/25/2020 12:00:00 AM,Agree,Agree
07/18/2021,MD,"464,197",,,83,0,"9,781","9,564",217,1,0,07/19/2021 02:21:19 PM,N/A,Agree
04/23/2021,MI,"931,344","835,949","95,395",3930,507,"18,691","17,553","1,138",87,4,04/24/2021 12:00:00 AM,Agree,Agree
12/16/2020,IN,"440,883",,,6220,0,"8,258","7,950",308,96,1,12/16/2020 12:00:00 AM,Not agree,Agree
11/23/2020,MO,"312,771",,,6560,802,"4,673",,,74,0,11/25/2020 12:00:00 AM,Not agree,Not agree
07/25/2020,IN,"61,520",,,922,0,"3,025","2,824",201,11,0,07/25/2020 12:00:00 AM,Not agree,Agree
06/16/2021,MI,"999,060","893,964","105,096",173,23,"20,921","19,669","1,252",11,1,06/17/2021 12:00:00 AM,Agree,Agree
05/10/2021,VI,"3,233",,,10,0,27,,,0,0,05/11/2021 01:53:24 PM,,
04/23/2020,MD,"16,616",,,879,0,840,798,42,54,2,06/01/2021 02:14:20 PM,N/A,Agree
05/07/2020,MS,"10,340","10,266",74,273,10,694,682,12,7,0,05/09/2020 12:00:00 AM,Agree,Agree
01/23/2020,MD,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,N/A,Agree
07/15/2020,NH,"6,113",,,22,0,394,,,2,0,07/16/2020 02:22:21 PM,Not agree,Not agree
09/25/2020,AL,"164,053","140,976","23,077",869,192,"3,892","3,387",505,8,2,09/27/2020 12:00:00 AM,Agree,Agree
02/18/2021,VT,"13,087",,,119,2,194,,,2,0,02/20/2021 12:00:00 AM,Not agree,Not agree
11/21/2020,CT,"101,469","94,426","7,043",0,0,"4,828","3,878",950,0,0,11/22/2020 03:02:23 PM,Agree,Agree
